SMS Message,Expected,Category
Credit card bill paid successfully.,Yes,Bill payment
Payment received for your credit card.,Yes,Bill payment
Payment received. Thank you.,No,Ambiguous
Refund approved.,No,Refund
Refund credited to your account.,Yes,Refund
Salary processed.,No,Payroll
Salary credited.,Yes,Payroll
Interest calculated.,No,Interest
Interest credited.,Yes,Interest
Debit card annual fee waived.,No,Fee
Debit card annual fee of Rs.270 debited.,Yes,Fee
Chargeback initiated.,No,Chargeback
Chargeback settled. Rs.304 credited.,Yes,Chargeback
Wallet loaded with Rs.321 using UPI.,No,Wallet
Wallet to bank transfer of Rs.338 successful.,Yes,Wallet
FASTag recharge successful.,No,FASTag
FASTag toll of Rs.372 deducted.,No,FASTag
UPI Lite top-up successful.,Yes,UPI Lite
UPI Lite balance Rs.406.,No,UPI Lite
Credit limit increased to Rs.423.,No,Credit
Credit note generated for Rs.440.,No,Credit
Credit balance available Rs.457.,No,Credit
Minimum amount due Rs.474.,No,Bill
EMI debited Rs.491.,Yes,EMI
EMI due tomorrow Rs.508.,No,EMI
Pre-authorisation of Rs.525 placed at hotel.,No,Preauth
Pre-authorisation completed. Rs.542 debited.,Yes,Preauth
Lien marked on Rs.559.,No,Lien
Lien removed.,No,Lien
GST refund of Rs.593 credited.,Yes,Tax
Credit card bill paid successfully.,Yes,Bill payment
Payment received for your credit card.,Yes,Bill payment
Payment received. Thank you.,No,Ambiguous
Refund approved.,No,Refund
Refund credited to your account.,Yes,Refund
Salary processed.,No,Payroll
Salary credited.,Yes,Payroll
Interest calculated.,No,Interest
Interest credited.,Yes,Interest
Debit card annual fee waived.,No,Fee
Debit card annual fee of Rs.780 debited.,Yes,Fee
Chargeback initiated.,No,Chargeback
Chargeback settled. Rs.814 credited.,Yes,Chargeback
Wallet loaded with Rs.831 using UPI.,No,Wallet
Wallet to bank transfer of Rs.848 successful.,Yes,Wallet
FASTag recharge successful.,No,FASTag
FASTag toll of Rs.882 deducted.,No,FASTag
UPI Lite top-up successful.,Yes,UPI Lite
UPI Lite balance Rs.916.,No,UPI Lite
Credit limit increased to Rs.933.,No,Credit
Credit note generated for Rs.950.,No,Credit
Credit balance available Rs.967.,No,Credit
Minimum amount due Rs.984.,No,Bill
EMI debited Rs.1001.,Yes,EMI
EMI due tomorrow Rs.1018.,No,EMI
Pre-authorisation of Rs.1035 placed at hotel.,No,Preauth
Pre-authorisation completed. Rs.1052 debited.,Yes,Preauth
Lien marked on Rs.1069.,No,Lien
Lien removed.,No,Lien
GST refund of Rs.1103 credited.,Yes,Tax
Credit card bill paid successfully.,Yes,Bill payment
Payment received for your credit card.,Yes,Bill payment
Payment received. Thank you.,No,Ambiguous
Refund approved.,No,Refund
Refund credited to your account.,Yes,Refund
Salary processed.,No,Payroll
Salary credited.,Yes,Payroll
Interest calculated.,No,Interest
Interest credited.,Yes,Interest
Debit card annual fee waived.,No,Fee
Debit card annual fee of Rs.1290 debited.,Yes,Fee
Chargeback initiated.,No,Chargeback
Chargeback settled. Rs.1324 credited.,Yes,Chargeback
Wallet loaded with Rs.1341 using UPI.,No,Wallet
Wallet to bank transfer of Rs.1358 successful.,Yes,Wallet
FASTag recharge successful.,No,FASTag
FASTag toll of Rs.1392 deducted.,No,FASTag
UPI Lite top-up successful.,Yes,UPI Lite
UPI Lite balance Rs.1426.,No,UPI Lite
Credit limit increased to Rs.1443.,No,Credit
Credit note generated for Rs.1460.,No,Credit
Credit balance available Rs.1477.,No,Credit
