SMS,IsTransaction,Direction,Category,Reason
Salary of Rs.25794 credited through NEFT.,Yes,Income,NEFT,Money credited
NEFT CR Rs.18110 received from ABC Pvt Ltd.,Yes,Income,NEFT,Money credited
Salary of Rs.25934 credited through NEFT.,Yes,Income,NEFT,Money credited
Funds received via NEFT. Rs.21527 credited.,Yes,Income,NEFT,Money credited
NEFT CR Rs.12925 received from Vendor.,Yes,Income,NEFT,Money credited
Funds received via NEFT. Rs.789 credited.,Yes,Income,NEFT,Money credited
NEFT inward credit Rs.2868.,Yes,Income,NEFT,Money credited
Rs.74188 credited to A/c XX2450 via NEFT from Raj Kumar.,Yes,Income,NEFT,Money credited
Salary of Rs.74839 credited through NEFT.,Yes,Income,NEFT,Money credited
NEFT CR Rs.74094 received from TCS.,Yes,Income,NEFT,Money credited
NEFT CR Rs.20896 received from Anitha.,Yes,Income,NEFT,Money credited
NEFT inward credit Rs.99450.,Yes,Income,NEFT,Money credited
Funds received via NEFT. Rs.14949 credited.,Yes,Income,NEFT,Money credited
NEFT inward credit Rs.45446.,Yes,Income,NEFT,Money credited
Funds received via NEFT. Rs.8175 credited.,Yes,Income,NEFT,Money credited
Rs.82719 credited to A/c XX9960 via NEFT from ABC Pvt Ltd.,Yes,Income,NEFT,Money credited
Funds received via NEFT. Rs.48703 credited.,Yes,Income,NEFT,Money credited
Rs.11757 credited to A/c XX5483 via NEFT from LIC.,Yes,Income,NEFT,Money credited
NEFT inward credit Rs.15773.,Yes,Income,NEFT,Money credited
NEFT CR Rs.5295 received from Infosys.,Yes,Income,NEFT,Money credited
NEFT inward credit Rs.17322.,Yes,Income,NEFT,Money credited
Rs.94341 credited to A/c XX5831 via NEFT from TCS.,Yes,Income,NEFT,Money credited
NEFT inward credit Rs.23739.,Yes,Income,NEFT,Money credited
NEFT inward credit Rs.49518.,Yes,Income,NEFT,Money credited
Rs.58803 credited to A/c XX9771 via NEFT from Raj Kumar.,Yes,Income,NEFT,Money credited
Funds received via NEFT. Rs.1974 credited.,Yes,Income,NEFT,Money credited
Funds received via NEFT. Rs.39458 credited.,Yes,Income,NEFT,Money credited
Rs.78472 credited to A/c XX7788 via NEFT from Rahul.,Yes,Income,NEFT,Money credited
NEFT inward credit Rs.84907.,Yes,Income,NEFT,Money credited
Funds received via NEFT. Rs.12270 credited.,Yes,Income,NEFT,Money credited
Rs.2717 credited to A/c XX4179 via NEFT from Rahul.,Yes,Income,NEFT,Money credited
Funds received via NEFT. Rs.69873 credited.,Yes,Income,NEFT,Money credited
Rs.6148 credited to A/c XX7787 via NEFT from Infosys.,Yes,Income,NEFT,Money credited
Salary of Rs.24380 credited through NEFT.,Yes,Income,NEFT,Money credited
Salary of Rs.6809 credited through NEFT.,Yes,Income,NEFT,Money credited
NEFT CR Rs.77493 received from Rahul.,Yes,Income,NEFT,Money credited
Salary of Rs.17961 credited through NEFT.,Yes,Income,NEFT,Money credited
NEFT inward credit Rs.10189.,Yes,Income,NEFT,Money credited
Funds received via NEFT. Rs.55053 credited.,Yes,Income,NEFT,Money credited
Salary of Rs.43997 credited through NEFT.,Yes,Income,NEFT,Money credited
NEFT CR Rs.81595 received from Vendor.,Yes,Income,NEFT,Money credited
NEFT inward credit Rs.70736.,Yes,Income,NEFT,Money credited
