SMS,IsTransaction,Category,Reason
"Dear Customer, Rs.50,000 to Rs.80,000 personal loan can be credited instantly on 08.11.2026. Check if you qualify: http://example.in/5482 - LazyPay",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.5,00,000 loan can be credited to your Bank A/c on 27.04.2026. Check if you qualify: http://example.in/5427 - PaySense",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.10,000 quick loan can be disbursed on 28.06.2026. Complete KYC to proceed: http://example.in/7051 - Kissht",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.25,000 instant cash loan available on 18.10.2026. Limited period offer: http://example.in/1861 - Navi",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.50,000 to Rs.50,000 quick loan can be disbursed on 25.11.2026. Limited period offer: http://example.in/6465 - Bajaj Finserv",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.5,00,000 loan can be credited to your Bank A/c on 28.09.2026. Check if you qualify: http://example.in/7657 - Ram Fincor",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.50,000 to Rs.50,000 instant cash loan available on 16.08.2026. Click to know more: http://example.in/5266 - KreditBee",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.25,000 cash loan up to Rs.25,000 on 11.11.2026. Click to know more: http://example.in/2024 - Ram Fincor",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.5,00,000 instant cash loan available on 07.02.2026. Offer valid today: http://example.in/9092 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.50,000 cash loan up to Rs.50,000 on 04.12.2026. Limited period offer: http://example.in/8086 - Ram Fincor",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.5,00,000 instant cash loan available on 24.07.2026. Instant approval: http://example.in/4008 - PaySense",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.1,50,000 to Rs.5,00,000 loan approved subject to verification on 28.08.2026. Click to know more: http://example.in/9804 - LazyPay",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.1,50,000 pre-approved loan available on 01.03.2026. Offer valid today: http://example.in/2801 - Ram Fincor",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.50,000 loan offer waiting for you on 23.02.2026. Click to know more: http://example.in/7714 - mPokket",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.80,000 loan offer waiting for you on 05.05.2026. Click to know more: http://example.in/3710 - Navi",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.80,000 you are eligible for a personal loan on 21.03.2026. Limited period offer: http://example.in/7226 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
